"MeetID","MeetPath","Federation","Date","MeetCountry","MeetState","MeetTown","MeetName","Year","lat","long","NumberParticipants","x","y","z"
4168,"pa/1107","PA","26-03-11","Australia","VIC","Melbourne","2011 Australian Raw Powerlifting and Bench Press Championships",2011,-37.8136276,144.9630576,50,-0.646845363234025,0.453547827115086,-0.61309497191041
4169,"pa/1108","PA","30-04-11","Australia","QLD","Townsville","Australian Juniors and Masters Powerlifting and Bench Press Championships and Art of Strength Raw Championships",2011,-19.2589635,146.8169483,27,-0.790089705290319,0.516686490115395,-0.329838336956897
4170,"pa/1109","PA","15-10-11","Australia","SA","Adelaide","2011 Australian Masters Games",2011,-34.9284989,138.6007456,17,-0.614998509839381,0.542179897222918,-0.572553745898747
4171,"pa/1110","PA","20-07-11","Australia","VIC","Melbourne","2011 Australian Powerlifting and Bench Press Championships and Pacific Invitational",2011,-37.8136276,144.9630576,54,-0.646845363234025,0.453547827115086,-0.61309497191041
4172,"pa/1111","PA","14-08-11","Australia","QLD","Brisbane","Acacia Park Winter Novice Powerlifting and Bench Press Competition",2011,-27.4697707,153.0251235,17,-0.790725944533525,0.402458351089035,-0.461280561350963
4173,"pa/1112","PA","12-06-11","Australia","QLD","Brisbane","Acacia Park Novice Powerlifting and Bench Press Competition",2011,-27.4697707,153.0251235,14,-0.790725944533525,0.402458351089035,-0.461280561350963
4174,"pa/1113","PA","16-10-11","Australia","QLD","Brisbane","Autumn UQ Novice Comp",2011,-27.4697707,153.0251235,18,-0.790725944533525,0.402458351089035,-0.461280561350963
4175,"pa/1114","PA","26-02-11","Australia","QLD","Townsville","The Powerlifting Contender",2011,-19.2589635,146.8169483,5,-0.790089705290319,0.516686490115395,-0.329838336956897
4176,"pa/1115","PA","13-02-11","Australia","VIC","Melbourne","Melbourne Summer Bash",2011,-37.8136276,144.9630576,13,-0.646845363234025,0.453547827115086,-0.61309497191041
4177,"pa/1116","PA","08-10-11","Australia","WA","Belmont","Wild West Challenge",2011,-31.945,115.927,8,-0.371010616764733,0.763150752810307,-0.529104952474379
4178,"pa/1117","PA","19-03-11","Australia","NSW","Caves Beach","Bristow Open and Lack Macquarie Master Games",2011,-33.1063425,151.6450391,27,-0.737157847505473,0.397831204580693,-0.546194691042464
4179,"pa/1118","PA","04-06-11","Australia","SA","Mannum","City vs Country",2011,-34.9130677,139.3052195,6,-0.621735061881552,0.53467798547147,-0.572332914202314
4180,"pa/1119","PA","05-03-11","Australia","SA","Adelaide","Fortus Classic",2011,-34.9284989,138.6007456,8,-0.614998509839381,0.542179897222918,-0.572553745898747
4181,"pa/1120","PA","26-06-11","Australia","VIC","Melbourne","Hawk Challenge",2011,-37.8136276,144.9630576,26,-0.646845363234025,0.453547827115086,-0.61309497191041
4182,"pa/1121","PA","10-09-11","Australia","QLD","Townsville","John Hill Cup",2011,-19.2589635,146.8169483,22,-0.790089705290319,0.516686490115395,-0.329838336956897
4183,"pa/1122","PA","03-12-11","Australia","NSW","North Sydney","Matti Tikka Challenge",2011,-33.83965,151.20541,75,-0.72789749515552,0.400075536952876,-0.55687054265618
4184,"pa/1123","PA","30-09-11","Australia","NSW","North Sydney","North Sydney Bench Press Comp",2011,-33.83965,151.20541,21,-0.72789749515552,0.400075536952876,-0.55687054265618
4185,"pa/1124","PA","26-02-11","Australia","WA","Karrartha","North West Challenge",2011,-20.73535,116.8458043,1,-0.42233950394111,0.83443189095353,-0.354051921009466
4186,"pa/1125","PA","27-03-11","Australia","QLD","Jindalee","Queensland Powerlifting and Bench Press Open",2011,-27.5373,152.9354,21,-0.789610054446013,0.403448463594385,-0.462325966327974
4187,"pa/1126","PA","27-11-11","Australia","QLD","Brisbane","SE Challenge Powerlifting and Benchpress Championships",2011,-27.4697707,153.0251235,24,-0.790725944533525,0.402458351089035,-0.461280561350963
4188,"pa/1127","PA","21-05-11","Australia","NSW","Singleton","Raw Singleton Strength Triathlon",2011,-32.5694741,151.1788155,27,-0.738347935772805,0.406265788850813,-0.538321868912517
4189,"pa/1128","PA","30-01-11","Australia","QLD","Brisbane","Summer UQ Novice Comp",2011,-27.4697707,153.0251235,4,-0.790725944533525,0.402458351089035,-0.461280561350963
4190,"pa/1129","PA","11-06-11","Australia","TAS","Launceston","Tasmanian Open",2011,-41.4332215,147.1440875,7,-0.629799268777545,0.406748329257946,-0.661746686952899
4191,"pa/1130","PA","03-09-11","Australia","NSW","Toronto","Toronto Open",2011,-33.016194,151.582583,49,-0.73747866052076,0.399042994061497,-0.544876053948915
4192,"pa/1131","PA","27-11-11","Australia","VIC","Melbourne","Victorian Extravaganza",2011,-37.8136276,144.9630576,46,-0.646845363234025,0.453547827115086,-0.61309497191041
4193,"pa/1132","PA","21-05-11","Australia","WA","Belmont","WA Open",2011,-31.945,115.927,7,-0.371010616764733,0.763150752810307,-0.529104952474379
4194,"pa/1133","PA","17-04-11","Australia","NSW","Sydney","Western Sydney Hardcore Challenge",2011,-33.8688197,151.2092955,18,-0.727676069074416,0.399889581832906,-0.557293334643354
4195,"pa/1201","PA","14-10-12","Australia","QLD","Townsville","Townsville Open",2012,-19.2589635,146.8169483,4,-0.790089705290319,0.516686490115395,-0.329838336956897
4196,"pa/1202","PA","01-04-12","Australia","VIC","Melbourne","2012 Raw Pacific Invitational",2012,-37.8136276,144.9630576,13,-0.646845363234025,0.453547827115086,-0.61309497191041
4197,"pa/1203","PA","16-09-12","Australia","VIC","Hawthorn","Starting Strength Challenge",2012,-37.826,145.034,55,-0.64729793175872,0.452670687008583,-0.613265551506084
