MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
4561,rps/1211,RPS,2012-07-07,USA,VT,Fair Haven,2012 RPS Be a Freak Summer Powerlifting Championships
4562,rps/1212,RPS,2012-07-28,USA,PA,Lancaster,2012 RPS Pennsylvania State Championships
4563,rps/1213,RPS,2012-08-04,USA,NY,Rochester,2012 RPS New York State Championships
4564,rps/1214,RPS,2012-08-11,USA,PA,Allentown,2012 RPS Raw Dawg National Championships and AMVETS Powerfest
4565,rps/1215,RPS,2012-09-07,USA,NJ,Newark,2012 Supreme Iron Warrior RPS World Championships
4566,rps/1216,RPS,2012-10-22,USA,PA,Bloomsburg,2012 RPS Campus Chaos
4567,rps/1217,RPS,2012-10-13,USA,OH,Columbus,2012 RPS Ohio Nationals
4568,rps/1218,RPS,2012-10-20,USA,MA,Attleboro,16th Annual RPS Power Challenge Boston
4569,rps/1219,RPS,2012-11-03,USA,NJ,Sewell,2012 RPS Autumn Apocalypse
4570,rps/1220,RPS,2012-11-11,USA,NY,Stony Brook,2012 RPS Long Island InsurreXtion
4571,rps/1221,RPS,2012-11-16,USA,VT,Fair Haven,2012 RPS Dennis Hayward Memorial Fall Classic
4572,rps/1222,RPS,2012-12-01,USA,PA,Allentown,8th Annual RPS Christmas Carnage
4573,rps/1223,RPS,2012-12-08,USA,OH,Columbus,2012 RPS XXX - Xtreme Xmas Xplosion
4574,rps/1301,RPS,2013-01-26,USA,NJ,Newark,2013 RPS North American & New Jersey State Championships
4575,rps/1302,RPS,2013-02-09,USA,PA,Lancaster,2013 RPS Barno-Newman Classic
4576,rps/1303,RPS,2013-02-09,USA,VT,Fair Haven,2013 RPS Winter Classic
4577,rps/1304,RPS,2013-03-09,USA,PA,Bristol,4th Annual Bristol's Big Bench
4578,rps/1305,RPS,2013-03-23,USA,RI,Johnston,2013 New England Revolution
4579,rps/1306,RPS,2013-04-13,USA,PA,York,Powerpalooza 15
4580,rps/1307,RPS,2013-04-13,USA,FL,Fort Lauderdale,2013 RPS East Coast Championships
4581,rps/1308,RPS,2013-04-13,Ukraine,,Simferopol,2013 UPA Ukraine Bench Press Championships
4582,rps/1309,RPS,2013-04-20,USA,NH,Newmarket,2013 Vermont and New Hampshire State Championships
